model,game,condition,attempted_n,parsed,compliance_rate,best_response_rate,payoff_calc,deviation,profitable_deviation,ce_label,mediator_trust,label_skepticism
gemini-3.1-pro,Battle of the Sexes,C1,10,10,1.0,1.0,0.4,1.0,0.0,1.0,0.9,0.0
gemini-3.1-pro,Battle of the Sexes,C2,10,10,1.0,1.0,0.1,0.8,0.0,0.2,0.7,0.0
gemini-3.1-pro,Battle of the Sexes,C3,10,10,1.0,1.0,0.2,0.5,0.0,0.8,0.8,0.0
gemini-3.1-pro,Battle of the Sexes,C4,10,10,0.2,0.8,0.2,0.3,0.1,0.7,0.3,0.0
gemini-3.1-pro,Battle of the Sexes,C5,10,10,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
gemini-3.1-pro,Battle of the Sexes,C7-fake,10,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
gemini-3.1-pro,Battle of the Sexes,C7-real,10,10,1.0,1.0,0.4,0.4,0.0,0.6,0.0,0.0
gemini-3.1-pro,Chicken,C1,10,10,1.0,1.0,0.8,1.0,0.1,1.0,1.0,0.0
gemini-3.1-pro,Chicken,C2,10,10,1.0,1.0,1.0,1.0,0.0,0.7,0.8,0.0
gemini-3.1-pro,Chicken,C3,10,10,1.0,1.0,1.0,1.0,0.0,0.8,1.0,0.2
gemini-3.1-pro,Chicken,C4,10,10,0.0,1.0,0.4,0.2,0.0,0.6,0.2,0.1
gemini-3.1-pro,Chicken,C5,10,10,0.0,1.0,0.3,0.3,0.2,0.2,0.4,0.0
gemini-3.1-pro,Chicken,C7-fake,10,9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
gemini-3.1-pro,Chicken,C7-real,10,10,0.8,0.8,0.1,0.0,0.0,0.0,0.0,0.0
gemini-3.1-pro,Prisoner's Dilemma,C1,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.0
gemini-3.1-pro,Prisoner's Dilemma,C2,5,5,1.0,1.0,0.2,0.6,0.0,0.0,0.0,0.0
gemini-3.1-pro,Prisoner's Dilemma,C3,5,5,1.0,1.0,0.2,0.6,0.4,0.4,0.4,0.0
gemini-3.1-pro,Prisoner's Dilemma,C4,5,5,0.0,1.0,0.2,1.0,0.2,1.0,0.6,0.0
gemini-3.1-pro,Prisoner's Dilemma,C5,5,5,0.0,1.0,0.2,1.0,0.2,0.2,1.0,0.0
gemini-3.1-pro,Prisoner's Dilemma,C7-fake,5,5,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0
gemini-3.1-pro,Prisoner's Dilemma,C7-real,5,5,1.0,1.0,0.6,0.6,0.0,0.0,0.0,0.0
gemini-3.1-pro,Pure Coordination,C1,10,10,1.0,1.0,0.2,0.9,0.1,0.9,1.0,0.0
gemini-3.1-pro,Pure Coordination,C2,10,10,1.0,1.0,0.1,0.6,0.0,0.0,0.4,0.0
gemini-3.1-pro,Pure Coordination,C3,10,10,1.0,1.0,0.6,0.8,0.0,0.7,0.6,0.0
gemini-3.1-pro,Pure Coordination,C4,10,10,0.4,0.6,0.0,0.3,0.0,0.8,0.1,0.1
gemini-3.1-pro,Pure Coordination,C5,10,10,0.5,0.5,0.1,0.0,0.0,0.0,0.2,0.0
gemini-3.1-pro,Pure Coordination,C7-fake,10,10,0.0,1.0,0.1,0.1,0.0,0.0,0.1,0.0
gemini-3.1-pro,Pure Coordination,C7-real,10,10,1.0,1.0,0.5,0.4,0.0,0.3,0.2,0.0
gemini-3.1-pro,Rock-Paper-Scissors,C1,15,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
gemini-3.1-pro,Rock-Paper-Scissors,C2,15,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
gemini-3.1-pro,Rock-Paper-Scissors,C3,15,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
gemini-3.1-pro,Rock-Paper-Scissors,C4,15,15,0.5333333333333333,0.4666666666666667,0.26666666666666666,0.13333333333333333,0.0,0.13333333333333333,0.06666666666666667,0.0
gemini-3.1-pro,Rock-Paper-Scissors,C5,15,13,0.06666666666666667,0.9230769230769231,0.0,0.06666666666666667,0.0,0.0,0.0,0.0
gemini-3.1-pro,Rock-Paper-Scissors,C7-fake,15,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
gemini-3.1-pro,Rock-Paper-Scissors,C7-real,15,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5.4,3x3 Dominated Strategy,C1,5,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5.4,3x3 Dominated Strategy,C2,5,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5.4,3x3 Dominated Strategy,C3,5,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5.4,3x3 Dominated Strategy,C4,10,10,1.0,0.0,0.9,1.0,0.0,0.3,0.0,0.0
gpt-5.4,3x3 Dominated Strategy,C5,10,10,0.5,0.4,0.7,1.0,0.0,0.0,0.0,0.0
