model,game,condition,recommendation,n,parsed,compliance_rate,ci_low,ci_high,p_vs_0_5
gpt-5.4,Chicken,C4,Straight,5,5,1.0,0.47817624989501856,1.0,0.0625
gpt-5.4,Chicken,C4,Swerve,5,5,0.8,0.28358206388191054,0.9949492366205319,0.375
gpt-5.4,Chicken,C5,Straight,5,5,1.0,0.47817624989501856,1.0,0.0625
gpt-5.4,Chicken,C5,Swerve,5,5,0.0,0.0,0.5218237501049814,0.0625
gpt-5.4,Chicken,C7-fake,Straight,5,5,0.0,0.0,0.5218237501049814,0.0625
gpt-5.4,Chicken,C7-fake,Swerve,5,5,0.0,0.0,0.5218237501049814,0.0625
gpt-5.4,Chicken,C7-real,Straight,5,5,1.0,0.47817624989501856,1.0,0.0625
gpt-5.4,Chicken,C7-real,Swerve,5,5,1.0,0.47817624989501856,1.0,0.0625
gpt-5.4,Prisoner's Dilemma,C1,Defect,5,5,1.0,0.47817624989501856,1.0,0.0625
gpt-5.4,Prisoner's Dilemma,C2,Defect,5,5,1.0,0.47817624989501856,1.0,0.0625
gpt-5.4,Prisoner's Dilemma,C3,Defect,5,5,1.0,0.47817624989501856,1.0,0.0625
gpt-5.4,Prisoner's Dilemma,C4,Cooperate,5,5,1.0,0.47817624989501856,1.0,0.0625
gpt-5.4,Prisoner's Dilemma,C5,Cooperate,5,5,1.0,0.47817624989501856,1.0,0.0625
gpt-5.4,Prisoner's Dilemma,C7-fake,Cooperate,5,5,0.0,0.0,0.5218237501049814,0.0625
gpt-5.4,Prisoner's Dilemma,C7-real,Defect,5,5,1.0,0.47817624989501856,1.0,0.0625
gpt-5.4,Pure Coordination,C1,A,5,5,1.0,0.47817624989501856,1.0,0.0625
gpt-5.4,Pure Coordination,C1,B,5,5,1.0,0.47817624989501856,1.0,0.0625
gpt-5.4,Pure Coordination,C2,A,5,5,1.0,0.47817624989501856,1.0,0.0625
gpt-5.4,Pure Coordination,C2,B,5,5,1.0,0.47817624989501856,1.0,0.0625
gpt-5.4,Pure Coordination,C3,A,5,5,1.0,0.47817624989501856,1.0,0.0625
gpt-5.4,Pure Coordination,C3,B,5,5,1.0,0.47817624989501856,1.0,0.0625
gpt-5.4,Pure Coordination,C4,A,5,5,0.0,0.0,0.5218237501049814,0.0625
gpt-5.4,Pure Coordination,C4,B,5,5,0.2,0.005050763379468115,0.7164179361180895,0.375
gpt-5.4,Pure Coordination,C5,A,5,5,0.8,0.28358206388191054,0.9949492366205319,0.375
gpt-5.4,Pure Coordination,C5,B,5,5,0.8,0.28358206388191054,0.9949492366205319,0.375
gpt-5.4,Pure Coordination,C7-fake,A,5,5,0.0,0.0,0.5218237501049814,0.0625
gpt-5.4,Pure Coordination,C7-fake,B,5,5,0.0,0.0,0.5218237501049814,0.0625
gpt-5.4,Pure Coordination,C7-real,A,5,5,1.0,0.47817624989501856,1.0,0.0625
gpt-5.4,Pure Coordination,C7-real,B,5,5,1.0,0.47817624989501856,1.0,0.0625
